ts_code,trade_date,cum_adjfactor
00981.HK,20250702,1.0
00981.HK,20250703,1.0
00981.HK,20250704,1.0
00981.HK,20250707,1.0
00981.HK,20250708,1.0
00981.HK,20250709,1.0
00981.HK,20250710,1.0
00981.HK,20250711,1.0
00981.HK,20250714,1.0
00981.HK,20250715,1.0
00981.HK,20250716,1.0
00981.HK,20250717,1.0
00981.HK,20250718,1.0
00981.HK,20250721,1.0
00981.HK,20250722,1.0
00981.HK,20250723,1.0
00981.HK,20250724,1.0
00981.HK,20250725,1.0
00981.HK,20250728,1.0
00981.HK,20250729,1.0
00981.HK,20250730,1.0
00981.HK,20250731,1.0
00981.HK,20250801,1.0
00981.HK,20250804,1.0
00981.HK,20250805,1.0
00981.HK,20250806,1.0
00981.HK,20250807,1.0
00981.HK,20250808,1.0
00981.HK,20250811,1.0
00981.HK,20250812,1.0
00981.HK,20250813,1.0
00981.HK,20250814,1.0
00981.HK,20250815,1.0
00981.HK,20250818,1.0
00981.HK,20250819,1.0
00981.HK,20250820,1.0
00981.HK,20250821,1.0
00981.HK,20250822,1.0
00981.HK,20250825,1.0
00981.HK,20250826,1.0
00981.HK,20250827,1.0
00981.HK,20250828,1.0
00981.HK,20250829,1.0
00981.HK,20250901,1.0
00981.HK,20250902,1.0
00981.HK,20250903,1.0
00981.HK,20250904,1.0
00981.HK,20250905,1.0
00981.HK,20250908,1.0
00981.HK,20250909,1.0
00981.HK,20250910,1.0
00981.HK,20250911,1.0
00981.HK,20250912,1.0
00981.HK,20250915,1.0
00981.HK,20250916,1.0
00981.HK,20250917,1.0
00981.HK,20250918,1.0
00981.HK,20250919,1.0
00981.HK,20250922,1.0
00981.HK,20250923,1.0
00981.HK,20250924,1.0
00981.HK,20250925,1.0
00981.HK,20250926,1.0
00981.HK,20250929,1.0
00981.HK,20250930,1.0
00981.HK,20251002,1.0
00981.HK,20251003,1.0
00981.HK,20251006,1.0
00981.HK,20251008,1.0
00981.HK,20251009,1.0
00981.HK,20251010,1.0
00981.HK,20251013,1.0
00981.HK,20251014,1.0
00981.HK,20251015,1.0
00981.HK,20251016,1.0
00981.HK,20251017,1.0
00981.HK,20251020,1.0
00981.HK,20251021,1.0
00981.HK,20251022,1.0
00981.HK,20251023,1.0
00981.HK,20251024,1.0
00981.HK,20251027,1.0
00981.HK,20251028,1.0
00981.HK,20251030,1.0
00981.HK,20251031,1.0
00981.HK,20251103,1.0
00981.HK,20251104,1.0
00981.HK,20251105,1.0
00981.HK,20251106,1.0
00981.HK,20251107,1.0
00981.HK,20251110,1.0
00981.HK,20251111,1.0
00981.HK,20251112,1.0
00981.HK,20251113,1.0
00981.HK,20251114,1.0
00981.HK,20251117,1.0
00981.HK,20251118,1.0
00981.HK,20251119,1.0
00981.HK,20251120,1.0
00981.HK,20251121,1.0
00981.HK,20251124,1.0
00981.HK,20251125,1.0
00981.HK,20251126,1.0
00981.HK,20251127,1.0
00981.HK,20251128,1.0
00981.HK,20251201,1.0
00981.HK,20251202,1.0
00981.HK,20251203,1.0
00981.HK,20251204,1.0
00981.HK,20251205,1.0
00981.HK,20251208,1.0
00981.HK,20251209,1.0
00981.HK,20251210,1.0
00981.HK,20251211,1.0
00981.HK,20251212,1.0
00981.HK,20251215,1.0
00981.HK,20251216,1.0
00981.HK,20251217,1.0
00981.HK,20251218,1.0
00981.HK,20251219,1.0
00981.HK,20251222,1.0
00981.HK,20251223,1.0
00981.HK,20251224,1.0
00981.HK,20251229,1.0
00981.HK,20251230,1.0
00981.HK,20251231,1.0
00981.HK,20260102,1.0
00981.HK,20260105,1.0
00981.HK,20260106,1.0
00981.HK,20260107,1.0
00981.HK,20260108,1.0
00981.HK,20260109,1.0
00981.HK,20260112,1.0
00981.HK,20260113,1.0
00981.HK,20260114,1.0
00981.HK,20260115,1.0
00981.HK,20260116,1.0
00981.HK,20260119,1.0
00981.HK,20260120,1.0
00981.HK,20260121,1.0
00981.HK,20260122,1.0
00981.HK,20260123,1.0
00981.HK,20260126,1.0
00981.HK,20260127,1.0
00981.HK,20260128,1.0
00981.HK,20260129,1.0
00981.HK,20260130,1.0
00981.HK,20260202,1.0
00981.HK,20260203,1.0
00981.HK,20260204,1.0
00981.HK,20260205,1.0
00981.HK,20260206,1.0
00981.HK,20260209,1.0
00981.HK,20260210,1.0
00981.HK,20260211,1.0
00981.HK,20260212,1.0
00981.HK,20260213,1.0
00981.HK,20260216,1.0
00981.HK,20260220,1.0
00981.HK,20260223,1.0
00981.HK,20260224,1.0
00981.HK,20260225,1.0
00981.HK,20260226,1.0
00981.HK,20260227,1.0
00981.HK,20260302,1.0
00981.HK,20260303,1.0
00981.HK,20260304,1.0
00981.HK,20260305,1.0
00981.HK,20260306,1.0
00981.HK,20260309,1.0
00981.HK,20260310,1.0
00981.HK,20260311,1.0
00981.HK,20260312,1.0
00981.HK,20260313,1.0
00981.HK,20260316,1.0
00981.HK,20260317,1.0
00981.HK,20260318,1.0
00981.HK,20260319,1.0
00981.HK,20260320,1.0
00981.HK,20260323,1.0
00981.HK,20260324,1.0
00981.HK,20260325,1.0
00981.HK,20260326,1.0
00981.HK,20260327,1.0
00981.HK,20260330,1.0
00981.HK,20260331,1.0
00981.HK,20260401,1.0
00981.HK,20260402,1.0
00981.HK,20260408,1.0
00981.HK,20260409,1.0
00981.HK,20260410,1.0
00981.HK,20260413,1.0
00981.HK,20260414,1.0
00981.HK,20260415,1.0
00981.HK,20260416,1.0
00981.HK,20260417,1.0
00981.HK,20260420,1.0
00981.HK,20260421,1.0
00981.HK,20260422,1.0
00981.HK,20260423,1.0
00981.HK,20260424,1.0
00981.HK,20260427,1.0
00981.HK,20260428,1.0
00981.HK,20260429,1.0
00981.HK,20260430,1.0
00981.HK,20260504,1.0
00981.HK,20260505,1.0
00981.HK,20260506,1.0
00981.HK,20260507,1.0
00981.HK,20260508,1.0
00981.HK,20260511,1.0
00981.HK,20260512,1.0
00981.HK,20260513,1.0
00981.HK,20260514,1.0
00981.HK,20260515,1.0
00981.HK,20260518,1.0
00981.HK,20260519,1.0
00981.HK,20260520,1.0
00981.HK,20260521,1.0
00981.HK,20260522,1.0
00981.HK,20260526,1.0
00981.HK,20260527,1.0
00981.HK,20260528,1.0
00981.HK,20260529,1.0
00981.HK,20260601,1.0
00981.HK,20260602,1.0
00981.HK,20260603,1.0
00981.HK,20260604,1.0
00981.HK,20260605,1.0
00981.HK,20260608,1.0
00981.HK,20260609,1.0
00981.HK,20260610,1.0
00981.HK,20260611,1.0
