ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_6,rsi_14,rsi_24,macd_dif,macd_dea,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,tr,atr_14,atr_14_pct,obv,obv_ma20,plus_di,minus_di,adx_14,bias_6,bias_12,bias_24,zscore_20,event_macd_golden,event_macd_death,event_rsi_overbought,event_rsi_oversold,event_bb_break_upper,event_bb_break_lower,event_atr_high,event_adx_trend,event_bias_high,event_bias_low,event_z_high,event_z_low,event_obv_bear_div,event_obv_bull_div
688981.SH,2025-07-02,87.5,87.73,85.81,86.1,87.76,-1.66,-1.8915,225572.67,1955238.262,,,,0.0,0.0,0.0,,,,,,1.9200000000000017,,,0.0,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-03,86.38,86.73,85.78,86.24,86.1,0.14,0.1626,146150.27,1260331.049,,,,0.011168091168087813,0.0022336182336175625,0.0178689458689405,,,,,,0.9500000000000028,,,146150.27,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-04,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,252257.45,2166412.311,,,,-0.015308966647992861,-0.0012748987427045225,-0.028068135810576676,,,,,,2.3400000000000034,,,-106107.18000000002,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-07,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,135349.28,1162397.568,,,,-0.06140570463327322,-0.013301059920818262,-0.09620928942490992,,,,,,1.4899999999999949,,,-241456.46000000002,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-08,85.49,86.85,85.18,86.74,85.48,1.26,1.474,217668.48,1876172.23,,,,0.0036912180806325523,-0.0099026043205281,0.027187644802321304,,,,,,1.6699999999999875,,,-23787.98000000001,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-09,86.65,86.86,85.52,85.85,86.74,-0.89,-1.0261,183102.0,1578143.686,,,,-0.016346135554684338,-0.011191310567359348,-0.01030964997464998,,,,,,1.3400000000000034,,,-206889.98,,,,,-0.21502876736213922,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-10,85.61,86.17,85.5,85.67,85.85,-0.18,-0.2097,175639.46,1506706.468,47.897274594785834,,,-0.046217610504811546,-0.01819657055484979,-0.05604207989992351,,,,,,0.6700000000000017,,,-382529.44,,,,,-0.3412307572996111,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-11,85.7,89.34,85.4,88.16,85.67,2.49,2.9065,469922.38,4128335.55,76.10264617187744,,,0.12953798730355004,0.011350341016830176,0.23637529257343973,,,,,,3.9399999999999977,,,87392.94,,,,,2.175004829051556,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-14,88.3,88.49,87.47,87.52,88.16,-0.64,-0.726,189831.36,1667925.619,65.21399546918929,,,0.21470789456304828,0.052021851726073806,0.32537208567394893,,,,,,1.019999999999996,,,-102438.41999999998,,,,,1.0973778445188898,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-15,87.15,87.95,86.61,87.89,87.52,0.37,0.4228,206173.16,1800356.659,68.35509107060199,,,0.3085053102841613,0.10331854343769131,0.41037353369293994,,,,,,1.3400000000000034,,,103734.74000000002,,,,,1.0558994308491474,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-16,87.73,88.2,86.77,87.12,87.89,-0.77,-0.8761,196708.51,1720548.788,55.777300854132626,,,0.31705308259802223,0.1460654512697575,0.34197526265652944,,,,,,1.4300000000000068,,,-92973.76999999999,,,,,0.09766186017122098,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-17,87.06,89.0,86.32,88.79,87.12,1.67,1.9169,287922.16,2535637.954,70.09747578954385,,,0.4533562878855548,0.207523618592917,0.49166533858527567,,,,,,2.680000000000007,,,194948.38999999998,,,,,1.445301342473596,2.3162018898363903,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-18,88.75,89.13,87.93,88.51,88.79,-0.28,-0.3154,219959.93,1948101.635,65.80985083719379,,,0.5326439126790774,0.27254767741014907,0.5201924705378567,,,,,,1.1999999999999886,,,-25011.540000000008,,,,,0.5814504062576984,1.7580501451469215,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-21,88.45,89.52,88.04,89.02,88.51,0.51,0.5762,222719.15,1983498.56,69.84178501850556,,,0.629377591218983,0.3439136601719159,0.5709278620941342,,,,,,1.4799999999999898,1.761866879728308,1.9791809477963467,197707.61,,13.939475776843459,4.736395639034537,,0.996501843622952,2.0725240074530653,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
688981.SH,2025-07-22,88.7,90.55,88.5,89.08,89.02,0.06,0.0674,297420.68,2662984.479,70.33565152415044,70.21235108580582,,0.7027800163859155,0.4156869314147158,0.5741861699423993,,,,,,2.049999999999997,1.7824478168905715,2.000951747744243,495128.29,,16.921894270278024,4.347299453119704,,0.7673309326747004,1.8221997847270508,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False
