ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_6,rsi_14,rsi_24,macd_dif,macd_dea,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,tr,atr_14,atr_14_pct,obv,obv_ma20,plus_di,minus_di,adx_14,bias_6,bias_12,bias_24,zscore_20,event_macd_golden,event_macd_death,event_rsi_overbought,event_rsi_oversold,event_bb_break_upper,event_bb_break_lower,event_atr_high,event_adx_trend,event_bias_high,event_bias_low,event_z_high,event_z_low,event_obv_bear_div,event_obv_bull_div
00981.HK,2025-07-02,45.15,45.4,43.15,43.55,44.7,-1.15,-2.57,89397299.0,3924170324.6,,,,0.0,0.0,0.0,,,,,,2.25,,,0.0,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-03,43.65,44.65,43.15,43.3,43.55,-0.25,-0.57,78532958.0,3435376577.15,,,,-0.019943019943021056,-0.003988603988604212,-0.03190883190883369,,,,,,1.5,,,-78532958.0,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-04,43.1,44.8,41.5,43.95,43.3,0.65,1.5,124680391.0,5392124722.95,,,,0.016511229616639866,0.00011136273244460401,0.03279973376839052,,,,,,3.299999999999997,,,46147433.0,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-07,44.3,45.0,43.7,44.3,43.95,0.35,0.8,58889473.0,2606606893.0,,,,0.07280431711077284,0.014649953608110252,0.11630872700532519,,,,,,1.2999999999999972,,,105036906.0,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-08,44.65,45.9,44.45,45.65,44.3,1.35,3.05,68833165.0,3113078998.8,,,,0.22377121680434442,0.05647420624735709,0.3345940211139746,,,,,,1.6000000000000014,,,173870071.0,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-09,45.65,45.7,44.4,44.65,45.65,-1.0,-2.19,48918407.0,2196646182.75,,,,0.2597279477117951,0.0971249545402447,0.3252059863431008,,,,,,1.3000000000000043,,,124951664.0,,,,,0.9419743782969212,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-10,44.75,45.4,44.5,44.95,44.65,0.3,0.67,39808214.0,1792304264.65,54.97484155014764,,,0.3088709369103739,0.13947415101427055,0.33879357179220676,,,,,,0.8999999999999986,,,164759878.0,,,,,1.0869565217391486,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-11,44.75,46.85,44.75,45.95,44.95,1.0,2.22,83344868.0,3852759756.85,67.28335384074532,,,0.42362546193022865,0.1963044131974622,0.4546420974655329,,,,,,2.1000000000000014,,,248104746.0,,,,,2.319539803303035,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-14,46.2,47.0,45.7,46.45,45.95,0.5,1.09,54314874.0,2528363662.8,71.89344197930575,,,0.5485912526217902,0.2667617810823278,0.5636589430789248,,,,,,1.2999999999999972,,,302419620.0,,,,,2.482073910645323,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-15,46.4,47.1,44.9,45.6,46.45,-0.85,-1.83,92558441.0,4218269477.1,55.84149674405041,,,0.5724409034186309,0.3278976055495884,0.4890865957380849,,,,,,2.200000000000003,,,209861179.0,,,,,0.12808783165600102,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-16,45.35,46.45,44.55,45.4,45.6,-0.2,-0.44,58314723.0,2664586789.55,52.52990117603456,,,0.5686485682489959,0.3760477980894699,0.38520154031905196,,,,,,1.9000000000000057,,,151546456.0,,,,,-0.2197802197802229,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-17,45.6,46.55,45.15,46.3,45.4,0.9,1.98,56836441.0,2623705430.2,64.04430968600772,,,0.6309919117115399,0.42703662081388394,0.4079105817953119,,,,,,1.3999999999999986,,,208382897.0,,,,,1.1469142545057158,2.879363021942415,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-18,46.7,47.35,45.95,47.1,46.3,0.8,1.73,63008978.0,2951468492.45,71.4349924930549,,,0.7364632843763701,0.4889219535263812,0.49508266169997783,,,,,,1.3999999999999986,,,271391875.0,,,,,2.095375722543357,3.9735099337748276,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-21,47.45,48.0,46.6,47.25,47.1,0.15,0.32,57525367.0,2723930171.65,72.6976886690015,,,0.8226706186935289,0.5556716865598108,0.5339978642674361,,,,,,1.3999999999999986,1.8642701537643516,3.9455452989721724,328917242.0,,11.760299761300637,6.256211327065813,,1.9417475728155307,3.552187014884478,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-22,47.5,49.2,47.1,48.55,47.25,1.3,2.75,101030803.0,4899480384.2,81.29626027602862,65.9105373664799,,0.9845405174469306,0.6414454527372349,0.6861901294193915,,,,,,2.1000000000000014,1.881107999924041,3.874578784601526,429948045.0,,15.379115697179053,5.757339545595654,,3.9614561027837296,5.51480575930454,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-23,49.25,49.3,47.9,48.75,48.55,0.2,0.41,72702914.0,3538326636.1,82.32399024220426,66.85229656384303,,1.1160962441916595,0.7363756110281199,0.7594412663270793,,,,,,1.3999999999999986,1.8467431427866094,3.788191062126378,502650959.0,,14.93312738600036,5.445583166909,,3.229221810481733,5.102407473948977,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-24,48.95,51.6,48.75,50.25,48.75,1.5,3.08,139872459.0,7048749847.65,88.17286780230226,72.89936779022278,,1.3261060444139758,0.8543216977052911,0.9435686934173695,,,,,,2.8500000000000014,1.9184043468732803,3.81772009328016,642523418.0,,21.91216357062209,4.867725247383854,,4.614850798056909,7.448325017818945,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-25,50.4,53.8,50.2,52.75,50.25,2.5,4.98,145837338.0,7590908385.6,92.88288358671106,79.58421117868923,,1.6749615170164844,1.0184496615675298,1.3130237108979093,,,,,,3.5999999999999943,2.038518322096617,3.864489710135767,788360756.0,,26.856798729548352,4.253700460689109,,7.4155778041744576,11.189179694361489,,,False,False,True,False,False,False,False,False,True,False,False,False,False,False
00981.HK,2025-07-28,53.55,53.55,52.0,53.1,52.75,0.35,0.66,81890865.0,4324208964.55,93.3291877236187,80.31624717435184,,1.957113679117974,1.2061824650776187,1.5018624280807105,,,,,,1.5499999999999972,2.003624156232573,3.7733034957298925,870251621.0,,25.37277225748523,4.018653679743304,,5.970397472143704,10.347216209195611,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-29,53.1,53.45,51.55,53.35,53.1,0.25,0.47,67956748.0,3570411345.5,93.66945572023829,80.8445882917586,,2.1758127955323303,1.400108531168561,1.5514085287275385,47.0575,53.32817317799796,40.786826822002034,26.6511105689761,1.0017403890605099,1.9000000000000057,1.9962224307873897,3.741747761550871,938208369.0,321440008.85,23.64779030637188,5.355627435495344,,4.3520782396088045,9.463965119261344,,2.0069615562420386,False,False,True,False,True,False,False,False,False,False,True,False,False,False
00981.HK,2025-07-30,52.65,52.65,50.0,50.2,53.35,-3.15,-5.9,118943656.0,6064938553.25,52.88330260289989,59.260742676541334,,2.071080618415003,1.5343029486178494,1.0735553395943072,47.39,53.5823212210982,41.1976787789018,26.133451028057387,0.7268939142260497,3.3500000000000014,2.0929208285882908,4.1691649971878295,819264713.0,362403244.5,20.944114984570152,10.033254654524612,,-2.3346303501945442,2.344546381243626,,0.9075756569041981,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-07-31,50.0,52.95,49.1,51.1,50.2,0.9,1.79,104907136.0,5389700442.85,59.00361405591396,62.353324123748514,,2.0372183073582377,1.6348860203659272,0.804664573984621,47.78,53.86936951191431,41.690630488085695,25.489198459247824,0.7726062192074379,3.8500000000000014,2.2184264836891274,4.34134341230749,924171849.0,412538484.85,18.34784611422254,11.687321816793196,,-1.3354786806114167,3.2149469786231317,,1.090424876829751,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-08-01,51.1,52.3,49.9,50.05,51.1,-1.05,-2.05,65840725.0,3339652390.1,49.924553601664726,56.92412380228926,,1.9037111598652388,1.6886510482657897,0.4301202231988981,48.085,53.97442853094021,42.19557146905979,24.49590737627205,0.6668243353049312,2.3999999999999986,2.2313960205684755,4.458333707429522,858331124.0,453147669.4,16.938259909371677,10.789435083819455,,-3.300595717275792,0.30897703549059496,,0.6672973412197253,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-08-04,49.8,51.75,49.8,51.5,50.05,1.45,2.9,53873828.0,2762951740.9,60.09891105899544,61.86257743357366,,1.8930863444805155,1.729538107508735,0.3270964739435609,48.445,54.23972536927015,42.650274630729854,23.92290378478748,0.7636017934690131,1.9500000000000028,2.2112963048135845,4.293779232647736,912204952.0,493506071.7,15.871348331263286,10.432844039739596,,-0.09699321047524745,2.326351519165481,8.041958041958047,1.0544071738760525,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-08-05,51.6,52.7,50.5,51.0,51.5,-0.5,-0.97,69595649.0,3598089024.1,55.437978727121546,59.33639504455478,56.2973530023982,1.8233023854813126,1.7482909631032506,0.15002284475612404,48.7125,54.45769249826367,42.96730750173633,23.58816524819572,0.6990794913043676,2.200000000000003,2.2104894258983285,4.334292991957507,842609303.0,526943033.3,17.812839302425015,9.691177103303449,,-0.3906250000000193,0.6827342271942053,6.3007512267141434,0.7963179652174711,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-08-06,51.25,52.95,50.5,52.6,51.0,1.6,3.14,72245201.0,3752208341.88,65.66364490399098,64.35284241713259,60.22926423773132,1.8754852964023812,1.7737298297630768,0.2035109332786087,49.11,54.771188270282025,43.448811729717974,23.05513447477917,0.8082391746553007,2.450000000000003,2.2275973240484483,4.234975901232792,914854504.0,566438175.3,17.21509545624811,8.929838429222146,,2.9858051884483716,2.935420743639922,8.757269007107471,1.232956698621203,False,False,False,False,False,False,False,False,False,False,False,False,False,False
00981.HK,2025-08-07,52.55,54.7,51.85,53.0,52.6,0.4,0.76,90416223.0,4817905731.5,67.87515546908867,65.49875079597439,61.14129133364549,1.9269051235182886,1.8043648885141192,0.24508047000833866,49.5125,55.072117082611264,43.95288291738874,22.457428255940464,0.8136457015095341,2.8500000000000014,2.272054658044988,4.2868955812169585,1005270727.0,608463717.75,21.17428648764624,8.129743255669855,37.01257327674097,2.829426030719487,2.9709382336274626,8.736536160027354,1.254582806038136,False,False,False,False,False,False,False,False,False,False,False,False,False,False
