trade_date,ts_code,name,implied_qfq_factor
2023-07-12,002594.SZ,比亚迪,0.32303001
2023-07-13,002594.SZ,比亚迪,0.32311541
2023-07-14,002594.SZ,比亚迪,0.32298325
2023-07-17,002594.SZ,比亚迪,0.32299898
2023-07-18,002594.SZ,比亚迪,0.32303752
2023-07-19,002594.SZ,比亚迪,0.32299966
2023-07-20,002594.SZ,比亚迪,0.32300434
2023-07-21,002594.SZ,比亚迪,0.32297972
2023-07-24,002594.SZ,比亚迪,0.32271845
2023-07-25,002594.SZ,比亚迪,0.32299029
2023-07-26,002594.SZ,比亚迪,0.32290435
2023-07-27,002594.SZ,比亚迪,0.32286053
2023-07-28,002594.SZ,比亚迪,0.32449438
2023-07-31,002594.SZ,比亚迪,0.32466912
2023-08-01,002594.SZ,比亚迪,0.32454376
2023-08-02,002594.SZ,比亚迪,0.32455224
2023-08-03,002594.SZ,比亚迪,0.32453491
2023-08-04,002594.SZ,比亚迪,0.32456206
2023-08-07,002594.SZ,比亚迪,0.32450654
2023-08-08,002594.SZ,比亚迪,0.32438283
2023-08-09,002594.SZ,比亚迪,0.32438189
2023-08-10,002594.SZ,比亚迪,0.32436239
2023-08-11,002594.SZ,比亚迪,0.32424301
2023-08-14,002594.SZ,比亚迪,0.32373281
2023-08-15,002594.SZ,比亚迪,0.32370982
2023-08-16,002594.SZ,比亚迪,0.32366912
2023-08-17,002594.SZ,比亚迪,0.32376733
2023-08-18,002594.SZ,比亚迪,0.32352574
2023-08-21,002594.SZ,比亚迪,0.32327972
2023-08-22,002594.SZ,比亚迪,0.32327108
2023-08-23,002594.SZ,比亚迪,0.32309096
2023-08-24,002594.SZ,比亚迪,0.3232865
2023-08-25,002594.SZ,比亚迪,0.32321582
2023-08-28,002594.SZ,比亚迪,0.32331338
2023-08-29,002594.SZ,比亚迪,0.32378096
2023-08-30,002594.SZ,比亚迪,0.32389912
2023-08-31,002594.SZ,比亚迪,0.32389735
2023-09-01,002594.SZ,比亚迪,0.32385999
2023-09-04,002594.SZ,比亚迪,0.32398495
2023-09-05,002594.SZ,比亚迪,0.32385656
2023-09-06,002594.SZ,比亚迪,0.32393691
2023-09-07,002594.SZ,比亚迪,0.32383253
2023-09-08,002594.SZ,比亚迪,0.32366318
2023-09-11,002594.SZ,比亚迪,0.32379256
2023-09-12,002594.SZ,比亚迪,0.32398111
2023-09-13,002594.SZ,比亚迪,0.3239515
2023-09-14,002594.SZ,比亚迪,0.32364651
2023-09-15,002594.SZ,比亚迪,0.32367268
2023-09-18,002594.SZ,比亚迪,0.32379335
2023-09-19,002594.SZ,比亚迪,0.32378525
2023-09-20,002594.SZ,比亚迪,0.32368852
2023-09-21,002594.SZ,比亚迪,0.32351469
2023-09-22,002594.SZ,比亚迪,0.32372985
2023-09-25,002594.SZ,比亚迪,0.32375915
2023-09-26,002594.SZ,比亚迪,0.32343816
2023-09-27,002594.SZ,比亚迪,0.32342429
2023-09-28,002594.SZ,比亚迪,0.32336291
2023-10-09,002594.SZ,比亚迪,0.32344413
2023-10-10,002594.SZ,比亚迪,0.32344164
2023-10-11,002594.SZ,比亚迪,0.32344189
2023-10-12,002594.SZ,比亚迪,0.32370628
2023-10-13,002594.SZ,比亚迪,0.32351473
2023-10-16,002594.SZ,比亚迪,0.32339691
2023-10-17,002594.SZ,比亚迪,0.32344538
2023-10-18,002594.SZ,比亚迪,0.32388485
2023-10-19,002594.SZ,比亚迪,0.32352452
2023-10-20,002594.SZ,比亚迪,0.32349498
2023-10-23,002594.SZ,比亚迪,0.32344437
2023-10-24,002594.SZ,比亚迪,0.32332838
2023-10-25,002594.SZ,比亚迪,0.32342039
2023-10-26,002594.SZ,比亚迪,0.32345669
2023-10-27,002594.SZ,比亚迪,0.32357925
2023-10-30,002594.SZ,比亚迪,0.32371218
2023-10-31,002594.SZ,比亚迪,0.32346776
2023-11-01,002594.SZ,比亚迪,0.32337003
2023-11-02,002594.SZ,比亚迪,0.32329642
2023-11-03,002594.SZ,比亚迪,0.32344437
2023-11-06,002594.SZ,比亚迪,0.32363112
2023-11-07,002594.SZ,比亚迪,0.32356725
2023-11-08,002594.SZ,比亚迪,0.3235
2023-11-09,002594.SZ,比亚迪,0.32348517
2023-11-10,002594.SZ,比亚迪,0.32338791
2023-11-13,002594.SZ,比亚迪,0.32338057
2023-11-14,002594.SZ,比亚迪,0.32340193
2023-11-15,002594.SZ,比亚迪,0.32345793
2023-11-16,002594.SZ,比亚迪,0.32345783
2023-11-17,002594.SZ,比亚迪,0.32336543
2023-11-20,002594.SZ,比亚迪,0.32331915
2023-11-21,002594.SZ,比亚迪,0.32327071
2023-11-22,002594.SZ,比亚迪,0.32308696
2023-11-23,002594.SZ,比亚迪,0.32303457
2023-11-24,002594.SZ,比亚迪,0.32248098
2023-11-27,002594.SZ,比亚迪,0.32206798
2023-11-28,002594.SZ,比亚迪,0.32209042
2023-11-29,002594.SZ,比亚迪,0.32166551
2023-11-30,002594.SZ,比亚迪,0.32151644
2023-12-01,002594.SZ,比亚迪,0.32139051
2023-12-04,002594.SZ,比亚迪,0.32135037
2023-12-05,002594.SZ,比亚迪,0.32133035
2023-12-06,002594.SZ,比亚迪,0.32163626
2023-12-07,002594.SZ,比亚迪,0.32153422
2023-12-08,002594.SZ,比亚迪,0.32148074
2023-12-11,002594.SZ,比亚迪,0.32150208
2023-12-12,002594.SZ,比亚迪,0.32134671
2023-12-13,002594.SZ,比亚迪,0.32106361
2023-12-14,002594.SZ,比亚迪,0.32100638
2023-12-15,002594.SZ,比亚迪,0.32114031
2023-12-18,002594.SZ,比亚迪,0.32085052
2023-12-19,002594.SZ,比亚迪,0.32079787
2023-12-20,002594.SZ,比亚迪,0.32058633
2023-12-21,002594.SZ,比亚迪,0.3209089
2023-12-22,002594.SZ,比亚迪,0.32109233
2023-12-25,002594.SZ,比亚迪,0.32105318
2023-12-26,002594.SZ,比亚迪,0.32104302
2023-12-27,002594.SZ,比亚迪,0.32102377
2023-12-28,002594.SZ,比亚迪,0.32143398
2023-12-29,002594.SZ,比亚迪,0.32141414
2024-01-02,002594.SZ,比亚迪,0.32107996
2024-01-03,002594.SZ,比亚迪,0.32111612
2024-01-04,002594.SZ,比亚迪,0.32110662
2024-01-05,002594.SZ,比亚迪,0.32110235
2024-01-08,002594.SZ,比亚迪,0.32090813
2024-01-09,002594.SZ,比亚迪,0.32111376
2024-01-10,002594.SZ,比亚迪,0.32093121
2024-01-11,002594.SZ,比亚迪,0.32137412
2024-01-12,002594.SZ,比亚迪,0.32128453
2024-01-15,002594.SZ,比亚迪,0.32120652
2024-01-16,002594.SZ,比亚迪,0.32124936
2024-01-17,002594.SZ,比亚迪,0.32071734
2024-01-18,002594.SZ,比亚迪,0.32097858
2024-01-19,002594.SZ,比亚迪,0.32090419
2024-01-22,002594.SZ,比亚迪,0.32059998
2024-01-23,002594.SZ,比亚迪,0.32078786
2024-01-24,002594.SZ,比亚迪,0.32082671
2024-01-25,002594.SZ,比亚迪,0.32090574
2024-01-26,002594.SZ,比亚迪,0.32067147
2024-01-29,002594.SZ,比亚迪,0.3201076
2024-01-30,002594.SZ,比亚迪,0.31964878
2024-01-31,002594.SZ,比亚迪,0.31951034
2024-02-01,002594.SZ,比亚迪,0.31956229
2024-02-02,002594.SZ,比亚迪,0.31922156
2024-02-05,002594.SZ,比亚迪,0.31928571
2024-02-06,002594.SZ,比亚迪,0.31995224
2024-02-07,002594.SZ,比亚迪,0.32022722
2024-02-08,002594.SZ,比亚迪,0.32030689
2024-02-19,002594.SZ,比亚迪,0.32049046
2024-02-20,002594.SZ,比亚迪,0.32018769
2024-02-21,002594.SZ,比亚迪,0.32043716
2024-02-22,002594.SZ,比亚迪,0.32045467
2024-02-23,002594.SZ,比亚迪,0.32045106
2024-02-26,002594.SZ,比亚迪,0.32064516
2024-02-27,002594.SZ,比亚迪,0.32116675
2024-02-28,002594.SZ,比亚迪,0.32079787
2024-02-29,002594.SZ,比亚迪,0.3210251
2024-03-01,002594.SZ,比亚迪,0.32105318
2024-03-04,002594.SZ,比亚迪,0.32086437
2024-03-05,002594.SZ,比亚迪,0.32098313
2024-03-06,002594.SZ,比亚迪,0.321054
2024-03-07,002594.SZ,比亚迪,0.32087458
2024-03-08,002594.SZ,比亚迪,0.32080387
2024-03-11,002594.SZ,比亚迪,0.32147529
2024-03-12,002594.SZ,比亚迪,0.321843
2024-03-13,002594.SZ,比亚迪,0.32191316
2024-03-14,002594.SZ,比亚迪,0.32223689
2024-03-15,002594.SZ,比亚迪,0.32209863
2024-03-18,002594.SZ,比亚迪,0.32252442
2024-03-19,002594.SZ,比亚迪,0.3224631
2024-03-20,002594.SZ,比亚迪,0.32254669
2024-03-21,002594.SZ,比亚迪,0.32258507
2024-03-22,002594.SZ,比亚迪,0.32247062
2024-03-25,002594.SZ,比亚迪,0.32231559
2024-03-26,002594.SZ,比亚迪,0.32258652
2024-03-27,002594.SZ,比亚迪,0.32220021
2024-03-28,002594.SZ,比亚迪,0.32200787
2024-03-29,002594.SZ,比亚迪,0.32172757
2024-04-01,002594.SZ,比亚迪,0.32220178
2024-04-02,002594.SZ,比亚迪,0.32221908
2024-04-03,002594.SZ,比亚迪,0.32201191
2024-04-08,002594.SZ,比亚迪,0.32221698
2024-04-09,002594.SZ,比亚迪,0.32223689
2024-04-10,002594.SZ,比亚迪,0.32222432
2024-04-11,002594.SZ,比亚迪,0.32228378
2024-04-12,002594.SZ,比亚迪,0.32212726
2024-04-15,002594.SZ,比亚迪,0.32230128
2024-04-16,002594.SZ,比亚迪,0.3222133
2024-04-17,002594.SZ,比亚迪,0.32225352
2024-04-18,002594.SZ,比亚迪,0.32228464
2024-04-19,002594.SZ,比亚迪,0.32213392
2024-04-22,002594.SZ,比亚迪,0.32201764
2024-04-23,002594.SZ,比亚迪,0.32183964
2024-04-24,002594.SZ,比亚迪,0.32195545
2024-04-25,002594.SZ,比亚迪,0.32205418
2024-04-26,002594.SZ,比亚迪,0.32260564
2024-04-29,002594.SZ,比亚迪,0.32270304
2024-04-30,002594.SZ,比亚迪,0.32256293
2024-05-06,002594.SZ,比亚迪,0.32293416
2024-05-07,002594.SZ,比亚迪,0.32308161
2024-05-08,002594.SZ,比亚迪,0.32290147
2024-05-09,002594.SZ,比亚迪,0.32298926
2024-05-10,002594.SZ,比亚迪,0.32300263
2024-05-13,002594.SZ,比亚迪,0.32290651
2024-05-14,002594.SZ,比亚迪,0.32284025
2024-05-15,002594.SZ,比亚迪,0.32257917
2024-05-16,002594.SZ,比亚迪,0.32252302
2024-05-17,002594.SZ,比亚迪,0.32260121
2024-05-20,002594.SZ,比亚迪,0.3227442
2024-05-21,002594.SZ,比亚迪,0.32256148
2024-05-22,002594.SZ,比亚迪,0.32246911
2024-05-23,002594.SZ,比亚迪,0.32235404
2024-05-24,002594.SZ,比亚迪,0.32207358
2024-05-27,002594.SZ,比亚迪,0.32200624
2024-05-28,002594.SZ,比亚迪,0.32196933
2024-05-29,002594.SZ,比亚迪,0.32283044
2024-05-30,002594.SZ,比亚迪,0.32300535
2024-05-31,002594.SZ,比亚迪,0.32302856
2024-06-03,002594.SZ,比亚迪,0.32340784
2024-06-04,002594.SZ,比亚迪,0.32345161
2024-06-05,002594.SZ,比亚迪,0.32355995
2024-06-06,002594.SZ,比亚迪,0.32343816
2024-06-07,002594.SZ,比亚迪,0.3233121
2024-06-11,002594.SZ,比亚迪,0.32371336
2024-06-12,002594.SZ,比亚迪,0.32363112
2024-06-13,002594.SZ,比亚迪,0.3240049
2024-06-14,002594.SZ,比亚迪,0.32400711
2024-06-17,002594.SZ,比亚迪,0.32417091
2024-06-18,002594.SZ,比亚迪,0.32412768
2024-06-19,002594.SZ,比亚迪,0.32405512
2024-06-20,002594.SZ,比亚迪,0.32397614
2024-06-21,002594.SZ,比亚迪,0.32393186
2024-06-24,002594.SZ,比亚迪,0.32391774
2024-06-25,002594.SZ,比亚迪,0.32404236
2024-06-26,002594.SZ,比亚迪,0.32399494
2024-06-27,002594.SZ,比亚迪,0.32388778
2024-06-28,002594.SZ,比亚迪,0.32391608
2024-07-01,002594.SZ,比亚迪,0.32378444
2024-07-02,002594.SZ,比亚迪,0.32368734
2024-07-03,002594.SZ,比亚迪,0.32365282
2024-07-04,002594.SZ,比亚迪,0.32371336
2024-07-05,002594.SZ,比亚迪,0.32359625
2024-07-08,002594.SZ,比亚迪,0.3237275
2024-07-09,002594.SZ,比亚迪,0.3239905
2024-07-10,002594.SZ,比亚迪,0.324
2024-07-11,002594.SZ,比亚迪,0.32403383
2024-07-12,002594.SZ,比亚迪,0.32434697
2024-07-15,002594.SZ,比亚迪,0.32432846
2024-07-16,002594.SZ,比亚迪,0.32422101
2024-07-17,002594.SZ,比亚迪,0.32426496
2024-07-18,002594.SZ,比亚迪,0.32433156
2024-07-19,002594.SZ,比亚迪,0.32439597
2024-07-22,002594.SZ,比亚迪,0.32446068
2024-07-23,002594.SZ,比亚迪,0.32401374
2024-07-24,002594.SZ,比亚迪,0.32389296
2024-07-25,002594.SZ,比亚迪,0.32393466
2024-07-26,002594.SZ,比亚迪,0.32410277
2024-07-29,002594.SZ,比亚迪,0.32802088
2024-07-30,002594.SZ,比亚迪,0.32790783
2024-07-31,002594.SZ,比亚迪,0.32799029
2024-08-01,002594.SZ,比亚迪,0.32792793
2024-08-02,002594.SZ,比亚迪,0.32771105
2024-08-05,002594.SZ,比亚迪,0.3276235
2024-08-06,002594.SZ,比亚迪,0.32755307
2024-08-07,002594.SZ,比亚迪,0.32753876
2024-08-08,002594.SZ,比亚迪,0.32748951
2024-08-09,002594.SZ,比亚迪,0.32760556
2024-08-12,002594.SZ,比亚迪,0.32760417
2024-08-13,002594.SZ,比亚迪,0.32754776
2024-08-14,002594.SZ,比亚迪,0.32749338
2024-08-15,002594.SZ,比亚迪,0.32761674
2024-08-16,002594.SZ,比亚迪,0.32771894
2024-08-19,002594.SZ,比亚迪,0.32771217
2024-08-20,002594.SZ,比亚迪,0.32772327
2024-08-21,002594.SZ,比亚迪,0.32784232
2024-08-22,002594.SZ,比亚迪,0.32783137
2024-08-23,002594.SZ,比亚迪,0.32781817
2024-08-26,002594.SZ,比亚迪,0.32780586
2024-08-27,002594.SZ,比亚迪,0.32782392
2024-08-28,002594.SZ,比亚迪,0.32776019
2024-08-29,002594.SZ,比亚迪,0.32769853
2024-08-30,002594.SZ,比亚迪,0.32804106
2024-09-02,002594.SZ,比亚迪,0.32783078
2024-09-03,002594.SZ,比亚迪,0.32799093
2024-09-04,002594.SZ,比亚迪,0.32806008
2024-09-05,002594.SZ,比亚迪,0.32809966
2024-09-06,002594.SZ,比亚迪,0.32806041
2024-09-09,002594.SZ,比亚迪,0.32802624
2024-09-10,002594.SZ,比亚迪,0.32801923
2024-09-11,002594.SZ,比亚迪,0.32820612
2024-09-12,002594.SZ,比亚迪,0.32819735
2024-09-13,002594.SZ,比亚迪,0.32813051
2024-09-18,002594.SZ,比亚迪,0.32821267
2024-09-19,002594.SZ,比亚迪,0.32816416
2024-09-20,002594.SZ,比亚迪,0.32815307
2024-09-23,002594.SZ,比亚迪,0.32804
2024-09-24,002594.SZ,比亚迪,0.3281293
2024-09-25,002594.SZ,比亚迪,0.3283105
2024-09-26,002594.SZ,比亚迪,0.32843737
2024-09-27,002594.SZ,比亚迪,0.32867354
2024-09-30,002594.SZ,比亚迪,0.3290163
2024-10-08,002594.SZ,比亚迪,0.32928096
2024-10-09,002594.SZ,比亚迪,0.32899342
2024-10-10,002594.SZ,比亚迪,0.32913356
2024-10-11,002594.SZ,比亚迪,0.32891185
2024-10-14,002594.SZ,比亚迪,0.3290228
2024-10-15,002594.SZ,比亚迪,0.32889262
2024-10-16,002594.SZ,比亚迪,0.32875531
2024-10-17,002594.SZ,比亚迪,0.32876097
2024-10-18,002594.SZ,比亚迪,0.32893773
2024-10-21,002594.SZ,比亚迪,0.32902594
2024-10-22,002594.SZ,比亚迪,0.32899098
2024-10-23,002594.SZ,比亚迪,0.32905983
2024-10-24,002594.SZ,比亚迪,0.3289647
2024-10-25,002594.SZ,比亚迪,0.32903875
2024-10-28,002594.SZ,比亚迪,0.32900688
2024-10-29,002594.SZ,比亚迪,0.32901113
2024-10-30,002594.SZ,比亚迪,0.32901325
2024-10-31,002594.SZ,比亚迪,0.32883113
2024-11-01,002594.SZ,比亚迪,0.32878647
2024-11-04,002594.SZ,比亚迪,0.32901166
2024-11-05,002594.SZ,比亚迪,0.32904065
2024-11-06,002594.SZ,比亚迪,0.32893861
2024-11-07,002594.SZ,比亚迪,0.32894824
2024-11-08,002594.SZ,比亚迪,0.32890232
2024-11-11,002594.SZ,比亚迪,0.32891176
2024-11-12,002594.SZ,比亚迪,0.32894518
2024-11-13,002594.SZ,比亚迪,0.32894168
2024-11-14,002594.SZ,比亚迪,0.32885496
2024-11-15,002594.SZ,比亚迪,0.32875862
2024-11-18,002594.SZ,比亚迪,0.3287377
2024-11-19,002594.SZ,比亚迪,0.32872669
2024-11-20,002594.SZ,比亚迪,0.32874575
2024-11-21,002594.SZ,比亚迪,0.32870629
2024-11-22,002594.SZ,比亚迪,0.32859349
2024-11-25,002594.SZ,比亚迪,0.32865724
2024-11-26,002594.SZ,比亚迪,0.32863599
2024-11-27,002594.SZ,比亚迪,0.3286121
2024-11-28,002594.SZ,比亚迪,0.32850171
2024-11-29,002594.SZ,比亚迪,0.32853036
2024-12-02,002594.SZ,比亚迪,0.32864731
2024-12-03,002594.SZ,比亚迪,0.32863966
2024-12-04,002594.SZ,比亚迪,0.3285949
2024-12-05,002594.SZ,比亚迪,0.32852576
2024-12-06,002594.SZ,比亚迪,0.32859997
2024-12-09,002594.SZ,比亚迪,0.32860352
2024-12-10,002594.SZ,比亚迪,0.3286498
2024-12-11,002594.SZ,比亚迪,0.32863198
2024-12-12,002594.SZ,比亚迪,0.3286802
2024-12-13,002594.SZ,比亚迪,0.32855955
2024-12-16,002594.SZ,比亚迪,0.32853246
2024-12-17,002594.SZ,比亚迪,0.32864215
2024-12-18,002594.SZ,比亚迪,0.32868435
2024-12-19,002594.SZ,比亚迪,0.32869657
2024-12-20,002594.SZ,比亚迪,0.32862241
2024-12-23,002594.SZ,比亚迪,0.32860705
2024-12-24,002594.SZ,比亚迪,0.32875667
2024-12-25,002594.SZ,比亚迪,0.32869334
2024-12-26,002594.SZ,比亚迪,0.32868778
2024-12-27,002594.SZ,比亚迪,0.32869918
2024-12-30,002594.SZ,比亚迪,0.3286782
2024-12-31,002594.SZ,比亚迪,0.32866341
2025-01-02,002594.SZ,比亚迪,0.32843969
2025-01-03,002594.SZ,比亚迪,0.32844531
2025-01-06,002594.SZ,比亚迪,0.32844294
2025-01-07,002594.SZ,比亚迪,0.32850418
2025-01-08,002594.SZ,比亚迪,0.32840478
2025-01-09,002594.SZ,比亚迪,0.32840863
2025-01-10,002594.SZ,比亚迪,0.32835877
2025-01-13,002594.SZ,比亚迪,0.32834586
2025-01-14,002594.SZ,比亚迪,0.32855592
2025-01-15,002594.SZ,比亚迪,0.32851578
2025-01-16,002594.SZ,比亚迪,0.32849391
2025-01-17,002594.SZ,比亚迪,0.3285611
2025-01-20,002594.SZ,比亚迪,0.32869247
2025-01-21,002594.SZ,比亚迪,0.32871876
2025-01-22,002594.SZ,比亚迪,0.32863717
2025-01-23,002594.SZ,比亚迪,0.32856988
2025-01-24,002594.SZ,比亚迪,0.32857962
2025-01-27,002594.SZ,比亚迪,0.32852459
2025-02-05,002594.SZ,比亚迪,0.32864215
2025-02-06,002594.SZ,比亚迪,0.32907934
2025-02-07,002594.SZ,比亚迪,0.32927501
2025-02-10,002594.SZ,比亚迪,0.32932481
2025-02-11,002594.SZ,比亚迪,0.32931191
2025-02-12,002594.SZ,比亚迪,0.32948848
2025-02-13,002594.SZ,比亚迪,0.32944623
2025-02-14,002594.SZ,比亚迪,0.32961663
2025-02-17,002594.SZ,比亚迪,0.32952654
2025-02-18,002594.SZ,比亚迪,0.32962776
2025-02-19,002594.SZ,比亚迪,0.32965132
2025-02-20,002594.SZ,比亚迪,0.32967639
2025-02-21,002594.SZ,比亚迪,0.32986945
2025-02-24,002594.SZ,比亚迪,0.32980759
2025-02-25,002594.SZ,比亚迪,0.32978067
2025-02-26,002594.SZ,比亚迪,0.32977694
2025-02-27,002594.SZ,比亚迪,0.32980027
2025-02-28,002594.SZ,比亚迪,0.32966669
2025-03-03,002594.SZ,比亚迪,0.3296688
2025-03-04,002594.SZ,比亚迪,0.32948614
2025-03-05,002594.SZ,比亚迪,0.32958526
2025-03-06,002594.SZ,比亚迪,0.32964645
2025-03-07,002594.SZ,比亚迪,0.32962963
2025-03-10,002594.SZ,比亚迪,0.32957265
2025-03-11,002594.SZ,比亚迪,0.32955648
2025-03-12,002594.SZ,比亚迪,0.32957265
2025-03-13,002594.SZ,比亚迪,0.32959097
2025-03-14,002594.SZ,比亚迪,0.32981327
2025-03-17,002594.SZ,比亚迪,0.32986193
2025-03-18,002594.SZ,比亚迪,0.32990093
2025-03-19,002594.SZ,比亚迪,0.32999219
2025-03-20,002594.SZ,比亚迪,0.33003325
2025-03-21,002594.SZ,比亚迪,0.32978495
2025-03-24,002594.SZ,比亚迪,0.32981671
2025-03-25,002594.SZ,比亚迪,0.32974377
2025-03-26,002594.SZ,比亚迪,0.32980506
2025-03-27,002594.SZ,比亚迪,0.32990944
2025-03-28,002594.SZ,比亚迪,0.32988235
2025-03-31,002594.SZ,比亚迪,0.32979461
2025-04-01,002594.SZ,比亚迪,0.32971272
2025-04-02,002594.SZ,比亚迪,0.32965326
2025-04-03,002594.SZ,比亚迪,0.32964113
2025-04-07,002594.SZ,比亚迪,0.32922054
2025-04-08,002594.SZ,比亚迪,0.32930292
2025-04-09,002594.SZ,比亚迪,0.32926679
2025-04-10,002594.SZ,比亚迪,0.32939952
2025-04-11,002594.SZ,比亚迪,0.32959603
2025-04-14,002594.SZ,比亚迪,0.32963788
2025-04-15,002594.SZ,比亚迪,0.32966636
2025-04-16,002594.SZ,比亚迪,0.32957547
2025-04-17,002594.SZ,比亚迪,0.32955845
2025-04-18,002594.SZ,比亚迪,0.32950867
2025-04-21,002594.SZ,比亚迪,0.32953894
2025-04-22,002594.SZ,比亚迪,0.32961335
2025-04-23,002594.SZ,比亚迪,0.32976693
2025-04-24,002594.SZ,比亚迪,0.32972678
2025-04-25,002594.SZ,比亚迪,0.32977375
2025-04-28,002594.SZ,比亚迪,0.32966667
2025-04-29,002594.SZ,比亚迪,0.32960563
2025-04-30,002594.SZ,比亚迪,0.32957603
2025-05-06,002594.SZ,比亚迪,0.32964774
2025-05-07,002594.SZ,比亚迪,0.32964922
2025-05-08,002594.SZ,比亚迪,0.32965932
2025-05-09,002594.SZ,比亚迪,0.32969
2025-05-12,002594.SZ,比亚迪,0.32975046
2025-05-13,002594.SZ,比亚迪,0.32971351
2025-05-14,002594.SZ,比亚迪,0.32977754
2025-05-15,002594.SZ,比亚迪,0.32983015
2025-05-16,002594.SZ,比亚迪,0.32993293
2025-05-19,002594.SZ,比亚迪,0.32987644
2025-05-20,002594.SZ,比亚迪,0.32998987
2025-05-21,002594.SZ,比亚迪,0.330025
2025-05-22,002594.SZ,比亚迪,0.33001505
