trade_date,ts_code,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
2023-07-12,002594.SZ,比亚迪,270.5,271.15,264.66,265.61,269.33,-3.72,-1.38,87032.0,2328017075.51,0.75
2023-07-13,002594.SZ,比亚迪,267.5,269.5,265.01,267.83,265.61,2.22,0.835812,82753.0,2213414441.05,0.71
2023-07-14,002594.SZ,比亚迪,267.8,267.8,263.5,264.41,267.83,-3.42,-1.276929,102722.0,2718639360.54,0.88
2023-07-17,002594.SZ,比亚迪,267.0,267.0,262.35,264.49,264.41,0.08,0.030256,78927.0,2086663750.62,0.68
2023-07-18,002594.SZ,比亚迪,265.25,267.57,260.5,265.48,264.49,0.99,0.374305,98456.0,2603934532.06,0.85
2023-07-19,002594.SZ,比亚迪,265.49,265.9,262.74,264.83,265.48,-0.65,-0.24484,50250.0,1328126186.9,0.43
2023-07-20,002594.SZ,比亚迪,265.5,269.5,264.0,264.95,264.83,0.12,0.045312,91271.0,2434017185.02,0.78
2023-07-21,002594.SZ,比亚迪,264.0,264.8,261.55,264.32,264.95,-0.63,-0.237781,75287.0,1979318622.2,0.65
2023-07-24,002594.SZ,比亚迪,261.01,262.77,257.49,257.5,264.32,-6.82,-2.580206,95950.0,2491708305.58,0.82
2023-07-25,002594.SZ,比亚迪,262.68,266.99,262.65,264.59,257.5,7.09,2.753398,173883.0,4604657751.54,1.49
2023-07-26,002594.SZ,比亚迪,263.76,263.76,260.6,262.09,264.59,-2.5,-0.944858,65865.0,1723363551.36,0.57
2023-07-27,002594.SZ,比亚迪,264.5,265.77,260.8,261.63,262.09,-0.46,-0.175512,112651.0,2962230531.88,0.97
2023-07-28,002594.SZ,比亚迪,260.0,267.65,258.22,267.0,261.63,5.37,2.052517,173308.0,4584230665.56,1.49
2023-07-31,002594.SZ,比亚迪,270.0,276.58,269.88,272.0,267.0,5.0,1.872659,215060.0,5874722582.93,1.85
2023-08-01,002594.SZ,比亚迪,271.76,272.76,266.5,268.5,272.0,-3.5,-1.286765,120340.0,3239067594.49,1.03
2023-08-02,002594.SZ,比亚迪,270.7,272.0,266.36,268.0,268.5,-0.5,-0.18622,87394.0,2346829431.29,0.75
2023-08-03,002594.SZ,比亚迪,267.28,268.48,265.51,268.23,268.0,0.23,0.085821,66170.0,1766952896.19,0.57
2023-08-04,002594.SZ,比亚迪,268.99,270.07,266.65,268.3,268.23,0.07,0.026097,88053.0,2358257628.14,0.76
2023-08-07,002594.SZ,比亚迪,267.93,267.93,265.19,266.99,268.3,-1.31,-0.488259,64204.0,1710317723.01,0.55
