模型,参数,默认值
逻辑回归,是否标准化,是
逻辑回归,正则化方式 penalty,elasticnet
逻辑回归,求解器 solver,saga
逻辑回归,L1 比例 l1_ratio,0.5
逻辑回归,正则化强度 C,1.0
逻辑回归,最大迭代次数 max_iter,5000
逻辑回归,收敛阈值 tol,0.0001
逻辑回归,是否拟合截距 fit_intercept,True
逻辑回归,类别权重 class_weight,balanced
决策树,是否标准化,否
决策树,划分标准 criterion,gini
决策树,划分策略 splitter,best
决策树,最大深度 max_depth,10
决策树,内部节点再划分最小样本数 min_samples_split,2
决策树,叶子节点最小样本数 min_samples_leaf,20
决策树,最大特征数 max_features,None
决策树,类别权重 class_weight,balanced
随机森林,是否标准化,否
随机森林,树数量 n_estimators,100
随机森林,划分标准 criterion,gini
随机森林,最大深度 max_depth,10
随机森林,内部节点再划分最小样本数 min_samples_split,2
随机森林,叶子节点最小样本数 min_samples_leaf,10
随机森林,最大特征数 max_features,sqrt
随机森林,是否 Bootstrap 抽样,True
随机森林,类别权重 class_weight,balanced
随机森林,并行任务数 n_jobs,-1
