字段,字段类型,缺失值数量,缺失比例
Code,object,0,0.0
Date,datetime64[ns],0,0.0
MV,float64,0,0.0
Next_Ret,float64,0,0.0
企业倍数(EV除EBITDA),float64,0,0.0
净利润同比增长率,float64,0,0.0
净资产同比增长率,float64,0,0.0
利润总额(同比增长率),float64,0,0.0
基本每股收益(同比增长率),float64,0,0.0
市净率PB(MRQ),float64,0,0.0
市现率PCF(现金净流量TTM),float64,0,0.0
市现率PCF(经营现金流TTM),float64,0,0.0
市盈率PE(TTM),float64,0,0.0
"市盈率PE(TTM,扣除非经常性损益)",float64,0,0.0
市销率PS(TTM),float64,0,0.0
总资产同比增长率,float64,0,0.0
现金净流量同比增长率,float64,0,0.0
经营活动产生的现金流量净额(同比增长率),float64,0,0.0
股息率(近12个月),float64,0,0.0
营业利润(同比增长率),float64,0,0.0
营业总收入(同比增长率),float64,0,0.0
营业收入(同比增长率),float64,0,0.0
