模型,特征,重要性或系数,类型
逻辑回归,企业倍数(EV除EBITDA),0.04684387660459506,标准化系数
逻辑回归,市净率PB(MRQ),-0.14095977673599897,标准化系数
逻辑回归,市现率PCF(现金净流量TTM),-0.015134749135079166,标准化系数
逻辑回归,市现率PCF(经营现金流TTM),0.00047040108733313965,标准化系数
逻辑回归,市盈率PE(TTM),0.0010016435770087333,标准化系数
逻辑回归,"市盈率PE(TTM,扣除非经常性损益)",-0.00520614515008925,标准化系数
逻辑回归,市销率PS(TTM),0.022059901463961792,标准化系数
逻辑回归,股息率(近12个月),0.037044294030289256,标准化系数
逻辑回归,MV,0.024643004050087642,标准化系数
逻辑回归,净利润同比增长率,0.05067693332939646,标准化系数
逻辑回归,净资产同比增长率,-0.007463399074773122,标准化系数
逻辑回归,利润总额(同比增长率),0.007495207924293141,标准化系数
逻辑回归,基本每股收益(同比增长率),0.02013243791771429,标准化系数
逻辑回归,总资产同比增长率,-0.027121201649211762,标准化系数
逻辑回归,现金净流量同比增长率,-0.006631767115667471,标准化系数
逻辑回归,经营活动产生的现金流量净额(同比增长率),-0.197136743376218,标准化系数
逻辑回归,营业利润(同比增长率),0.005921245033715247,标准化系数
逻辑回归,营业总收入(同比增长率),0.30383408523281336,标准化系数
逻辑回归,营业收入(同比增长率),-0.295679536750657,标准化系数
逻辑回归,log_mv,-0.04649256361215028,标准化系数
逻辑回归,企业倍数(EV除EBITDA)_截面分位,-0.07966329499440311,标准化系数
逻辑回归,市净率PB(MRQ)_截面分位,-0.11439451422368867,标准化系数
逻辑回归,市现率PCF(现金净流量TTM)_截面分位,0.019849603909422524,标准化系数
逻辑回归,市现率PCF(经营现金流TTM)_截面分位,0.03876432990687812,标准化系数
逻辑回归,市盈率PE(TTM)_截面分位,0.01704900073992862,标准化系数
逻辑回归,"市盈率PE(TTM,扣除非经常性损益)_截面分位",0.04540713139875884,标准化系数
逻辑回归,市销率PS(TTM)_截面分位,-0.014768286132803333,标准化系数
逻辑回归,股息率(近12个月)_截面分位,0.0013488875563446084,标准化系数
逻辑回归,MV_截面分位,-0.025757326919038814,标准化系数
逻辑回归,净利润同比增长率_截面分位,0.09211641892629392,标准化系数
逻辑回归,净资产同比增长率_截面分位,-0.026751779059042226,标准化系数
逻辑回归,利润总额(同比增长率)_截面分位,-0.062499830159206536,标准化系数
逻辑回归,基本每股收益(同比增长率)_截面分位,0.22449400581306986,标准化系数
逻辑回归,总资产同比增长率_截面分位,0.009462346291844437,标准化系数
逻辑回归,现金净流量同比增长率_截面分位,-0.005398897597187456,标准化系数
逻辑回归,经营活动产生的现金流量净额(同比增长率)_截面分位,0.011193802898563051,标准化系数
逻辑回归,营业利润(同比增长率)_截面分位,0.05385983765580527,标准化系数
逻辑回归,营业总收入(同比增长率)_截面分位,-0.18668812699120305,标准化系数
逻辑回归,营业收入(同比增长率)_截面分位,0.24853911748753202,标准化系数
逻辑回归,ret_lag_1q,-0.15271335657776924,标准化系数
逻辑回归,ret_mean_4q,-0.10244369077485196,标准化系数
逻辑回归,ret_vol_4q,0.029881476275544674,标准化系数
逻辑回归,ret_cum_4q,0.010626903300085576,标准化系数
逻辑回归,RSI,-0.013262607675420604,标准化系数
逻辑回归,trend_return,0.010626903300085576,标准化系数
决策树,企业倍数(EV除EBITDA),0.023112561991390883,特征重要性
决策树,市净率PB(MRQ),0.05155154081428545,特征重要性
决策树,市现率PCF(现金净流量TTM),0.007008859107537788,特征重要性
决策树,市现率PCF(经营现金流TTM),0.01123481856655609,特征重要性
决策树,市盈率PE(TTM),0.005002183303765046,特征重要性
决策树,"市盈率PE(TTM,扣除非经常性损益)",0.010125786487889888,特征重要性
决策树,市销率PS(TTM),0.012868111986112365,特征重要性
决策树,股息率(近12个月),0.007167197154488079,特征重要性
决策树,MV,0.027465919898877082,特征重要性
决策树,净利润同比增长率,0.01060825466218057,特征重要性
决策树,净资产同比增长率,0.027332890367694474,特征重要性
决策树,利润总额(同比增长率),0.01301541309426958,特征重要性
决策树,基本每股收益(同比增长率),0.021100457925423727,特征重要性
决策树,总资产同比增长率,0.012068111794276911,特征重要性
决策树,现金净流量同比增长率,0.0094161377827264,特征重要性
决策树,经营活动产生的现金流量净额(同比增长率),0.014506299551338146,特征重要性
决策树,营业利润(同比增长率),0.006862631633928178,特征重要性
决策树,营业总收入(同比增长率),0.013409182203547532,特征重要性
决策树,营业收入(同比增长率),0.011535711194764242,特征重要性
决策树,log_mv,0.014921633508769993,特征重要性
决策树,企业倍数(EV除EBITDA)_截面分位,0.019791225488859913,特征重要性
决策树,市净率PB(MRQ)_截面分位,0.014909260338175877,特征重要性
决策树,市现率PCF(现金净流量TTM)_截面分位,0.007866474099726474,特征重要性
决策树,市现率PCF(经营现金流TTM)_截面分位,0.016899227462671883,特征重要性
决策树,市盈率PE(TTM)_截面分位,0.016838432239128294,特征重要性
决策树,"市盈率PE(TTM,扣除非经常性损益)_截面分位",0.01774667161081695,特征重要性
决策树,市销率PS(TTM)_截面分位,0.01816043448802178,特征重要性
决策树,股息率(近12个月)_截面分位,0.017742464553640442,特征重要性
决策树,MV_截面分位,0.03252313599050969,特征重要性
决策树,净利润同比增长率_截面分位,0.010916954304856962,特征重要性
决策树,净资产同比增长率_截面分位,0.013897007999154422,特征重要性
决策树,利润总额(同比增长率)_截面分位,0.007530795618939827,特征重要性
决策树,基本每股收益(同比增长率)_截面分位,0.09089684761479074,特征重要性
决策树,总资产同比增长率_截面分位,0.01408719101804494,特征重要性
决策树,现金净流量同比增长率_截面分位,0.0075039712826573245,特征重要性
决策树,经营活动产生的现金流量净额(同比增长率)_截面分位,0.007361409087932109,特征重要性
决策树,营业利润(同比增长率)_截面分位,0.018816690100765473,特征重要性
决策树,营业总收入(同比增长率)_截面分位,0.01238571862274721,特征重要性
决策树,营业收入(同比增长率)_截面分位,0.006303960141495325,特征重要性
决策树,ret_lag_1q,0.1001466325119324,特征重要性
决策树,ret_mean_4q,0.030281939505422434,特征重要性
决策树,ret_vol_4q,0.020726153409214406,特征重要性
决策树,ret_cum_4q,0.025676453867535937,特征重要性
决策树,RSI,0.09280660191019117,特征重要性
决策树,trend_return,0.06787064370294559,特征重要性
随机森林,企业倍数(EV除EBITDA),0.02100223058394996,特征重要性
随机森林,市净率PB(MRQ),0.029827984396420627,特征重要性
随机森林,市现率PCF(现金净流量TTM),0.012776758006410345,特征重要性
随机森林,市现率PCF(经营现金流TTM),0.013005099338500642,特征重要性
随机森林,市盈率PE(TTM),0.0151580053057384,特征重要性
随机森林,"市盈率PE(TTM,扣除非经常性损益)",0.014916046359096184,特征重要性
随机森林,市销率PS(TTM),0.01811122576319146,特征重要性
随机森林,股息率(近12个月),0.013992271340597537,特征重要性
随机森林,MV,0.02244635608605713,特征重要性
随机森林,净利润同比增长率,0.022508228390554996,特征重要性
